"quants","names","condition","mapping_rate","sequence_read","map_read"
"SRR10425939","KO1_SMARCB1-sg1","sg1_SMARCB1",84.2999924624028,30712705,25890808
"SRR10425940","KO2_SMARCB1-sg1","sg1_SMARCB1",83.1966339464665,37800706,31448915
"SRR10425941","KO1_SMARCE1-sg1","sg1_SMARCE1",80.8367535347656,25909780,20944625
"SRR10425942","KO2_SMARCE1-sg1","sg1_SMARCE1",84.1266525358139,38328897,32244818
"SRR10425943","KO1_SMARCB1-sg2","sg2_SMARCB1",84.0975436511025,27081332,22774735
"SRR10425944","KO2_SMARCB1-sg2","sg2_SMARCB1",83.0928498308765,37978766,31557639
"SRR10425945","KO1_SMARCE1-sg2","sg2_SMARCE1",74.8872842513836,28580079,21402845
"SRR10425946","KO2_SMARCE1-sg2","sg2_SMARCE1",83.4758562895913,40348003,33680841
"SRR10425947","KO1_SMARCB1-sg3","sg3_SMARCB1",84.7786045883936,35775222,30329734
"SRR10425948","KO2_SMARCB1-sg3","sg3_SMARCB1",82.7293306155629,41633146,34442823
"SRR10425949","KO1_SMARCE1-sg3","sg3_SMARCE1",81.4557866276766,28823757,23478618
"SRR10425950","KO2_SMARCE1-sg3","sg3_SMARCE1",84.2719604600893,37532103,31629039
"SRR10425951","GFP1_SMARCB1","sgGFP_Control",84.9933174508657,33476746,28452997
"SRR10425952","GFP2_SMARCB1","sgGFP_Control",82.2854291955687,40771064,33548645
"SRR10425953","NT1_SMARCB1","sgNT_Control",84.1270180404472,31827038,26775138
"SRR10425954","NT2_SMARCB1","sgNT_Control",82.3200117641147,41012861,33761792
